1,56821823,42,80997467
1,20188141,29,30270767
2,82622147,24,35825729
1,19709396,21,90145111
2,49510956,22,20345306
3,04125977,23,42429352
1,61726570,21,58045006
0,70288658,22,67407990
3,26642227,23,17244911
0,78756714,22,61176109
0,61817360,21,26932907
1,41228867,23,39530563
2,73395157,21,71502495
0,45313454,22,27536392
1,44645691,20,81705856
1,40010643,22,11226654
1,06277084,21,09368896
3,00107574,22,17066574
1,12562180,21,11201096
1,41359329,21,76438904
1,15951729,22,20746994
1,74747849,23,12349892
3,63391113,23,09700012
0,03687286,19,77799225
0,15254593,19,09599686
3,58639145,25,12136078
1,00606155,20,52843094
0,96766281,20,50351143
1,49953461,21,98020172
1,07572746,19,97055817
0,97737122,21,09611511
1,12322235,20,98556328
1,02919579,20,87776184
4,23097992,22,00967026
0,07454300,20,55835724
1,68613052,20,50129128
1,30748367,22,12388611
1,08583450,21,62738228
1,13994598,20,59971428
0,46493912,22,16150856
0,08921623,21,81509972
1,24958229,19,65653038
0,49572563,20,95291710
0,93333435,23,08580017
1,19999886,20,67937660
0,45685577,20,18082237
0,67978668,21,87203789
1,71350479,20,64168930
2,03620148,21,70572472
1,15641212,20,45738983
1,38531876,20,39024734
0,90246773,19,95816231
1,55621719,21,20169449
0,19649696,21,90962219
1,86442947,21,11065102
1,05064774,21,51918793
0,05144882,20,96455765
0,33138657,20,12271309
1,02527237,19,19388008
1,05019379,21,77969742
1,68418312,21,41824532
1,05241585,19,62033653
1,73877907,21,34379578
1,35054398,20,23757744
1,07623672,19,68304634
4,04406929,21,31712341
1,58502007,21,04911423
0,12712097,20,48380280
4,94416237,21,84161377
1,85576057,21,61634827
0,89505005,20,84738350
1,58184242,21,22848129
2,35187531,19,48155975
1,29457474,22,16328049
1,18649292,20,90987396
1,26765060,21,51994133
0,31210518,22,72004700
1,53290558,20,83801842
1,57522202,19,29065514
1,80741692,22,54515457
1,04330063,21,80123520
0,89405441,21,16181374
1,34676552,23,76486969
4,46268654,21,61186218
0,29341125,21,39130783
0,04835701,21,31993866
1,92809105,23,88069916
1,23530960,19,36739540
1,48649979,21,41132736
0,33730316,22,40212631
1,61286545,20,01033401
0,15700340,21,54817963
0,80014801,21,60385704
1,21426773,21,58497620
1,17109299,20,15911484
0,15559387,20,79996109
0,68967056,21,29278374
1,08751678,20,46035004
0,26152802,20,26941490
1,53204346,21,08708000
0,91675186,21,69714165
1,19147110,19,20880699
0,51243210,20,23735809
0,30907822,18,98420525
0,26059151,21,19243431
0,04552650,20,82592964
0,30863953,19,50760651
0,48500633,19,99877357
1,27089882,20,24609756
1,65960693,20,54998589
0,18641472,20,36344147
0,14673615,20,29790878
0,08102608,20,13710213
1,39755249,20,52859879
0,09432983,21,75551987
1,16506958,19,92035484
0,34044647,20,58538818
0,41827011,19,60400009
0,61455917,20,72301674
0,20687485,22,09955597
